Tempo [s],Temperatura [K],Na,Cl,NaCl
0.0,2.241893162762516,757.0,743.0,0.0
0.016666666666666666,2.241893162762516,757.0,743.0,0.0
0.03333333333333333,2.228578331280127,757.0,743.0,0.0
0.05,2.2166660857264544,754.0,740.0,3.0
0.06666666666666667,2.200426909226052,754.0,740.0,3.0
0.08333333333333333,2.188162895038426,751.0,737.0,6.0
0.09999999999999999,2.1703998206802906,751.0,737.0,6.0
0.11666666666666665,2.1613870425752353,750.0,735.0,8.0
0.13333333333333333,2.146119821256396,748.0,733.0,10.0
0.15,2.1338334272121267,745.0,730.0,13.0
0.16666666666666666,2.130710344390172,739.0,725.0,19.0
0.18333333333333332,2.111670413492417,738.0,724.0,20.0
0.19999999999999998,2.100981134828878,735.0,721.0,23.0
0.21666666666666665,2.0967159006748326,731.0,717.0,27.0
0.2333333333333333,2.08433669913388,728.0,714.0,30.0
0.24999999999999997,2.075542324816224,724.0,709.0,35.0
0.26666666666666666,2.0595130431177084,720.0,706.0,39.0
0.2833333333333333,2.052544017684086,716.0,702.0,43.0
0.3,2.0466289690492068,713.0,699.0,46.0
0.31666666666666665,2.039141253557301,710.0,696.0,49.0
0.3333333333333333,2.0315186107961933,706.0,692.0,53.0
0.35,2.0245187506572906,704.0,690.0,55.0
0.36666666666666664,2.0203871866055105,699.0,685.0,60.0
0.3833333333333333,2.0084844034159057,695.0,681.0,64.0
0.39999999999999997,1.994922906489545,694.0,680.0,65.0
0.41666666666666663,1.9905228426649053,691.0,677.0,68.0
0.4333333333333333,1.9873145804765773,686.0,672.0,73.0
0.44999999999999996,1.9705441691887473,684.0,670.0,75.0
0.4666666666666666,1.961929788239074,678.0,665.0,81.0
0.4833333333333333,1.9515031926176625,676.0,663.0,83.0
0.49999999999999994,1.9460350240543878,673.0,660.0,86.0
0.5166666666666666,1.9334161987725902,670.0,657.0,89.0
0.5333333333333333,1.9242134564119349,666.0,653.0,93.0
0.55,1.9190667094754232,661.0,648.0,98.0
0.5666666666666668,1.9275460329380425,653.0,640.0,106.0
0.5833333333333335,1.9280073032060585,647.0,636.0,112.0
0.6000000000000002,1.9233511912720749,646.0,635.0,113.0
0.6166666666666669,1.9253048984010945,641.0,629.0,119.0
0.6333333333333336,1.9236210247957044,636.0,624.0,124.0
0.6500000000000004,1.9155105243990953,633.0,621.0,127.0
0.6666666666666671,1.9158529707318306,630.0,618.0,130.0
0.6833333333333338,1.9099078363405708,625.0,613.0,135.0
0.7000000000000005,1.9033615284272285,621.0,609.0,139.0
0.7166666666666672,1.897398464775212,617.0,606.0,143.0
0.733333333333334,1.8968338941493696,613.0,602.0,147.0
0.7500000000000007,1.9065236465546291,602.0,592.0,158.0
0.7666666666666674,1.902496561453058,598.0,588.0,162.0
0.7833333333333341,1.8941258302436428,595.0,585.0,165.0
0.8000000000000008,1.888082238563758,590.0,581.0,170.0
0.8166666666666675,1.8799223371328189,586.0,577.0,174.0
0.8333333333333343,1.8715060480528185,585.0,576.0,175.0
0.850000000000001,1.8766978932687037,576.0,569.0,184.0
0.8666666666666677,1.8759778018065165,570.0,563.0,190.0
0.8833333333333344,1.872154578606846,566.0,559.0,194.0
0.9000000000000011,1.867550828829366,564.0,557.0,196.0
0.9166666666666679,1.8662524026920524,558.0,551.0,202.0
0.9333333333333346,1.8729042383461652,551.0,545.0,209.0
0.9500000000000013,1.874447065796493,546.0,541.0,214.0
0.966666666666668,1.8786090229831907,536.0,533.0,224.0
0.9833333333333347,1.8756513279685563,534.0,531.0,226.0
1.0000000000000013,1.877749932561,529.0,526.0,231.0
1.016666666666668,1.8693811348865264,528.0,525.0,232.0
1.0333333333333345,1.8665956125340417,524.0,521.0,236.0
1.0500000000000012,1.8639567619101458,523.0,520.0,237.0
1.0666666666666678,1.868364216027712,519.0,516.0,241.0
1.0833333333333344,1.8652186364198047,517.0,514.0,243.0
1.100000000000001,1.8592862023201946,513.0,510.0,247.0
1.1166666666666676,1.8567649582809838,509.0,506.0,251.0
1.1333333333333342,1.8513203020228681,508.0,505.0,252.0
1.1500000000000008,1.8542988416601964,505.0,502.0,255.0
1.1666666666666674,1.8543551862838261,501.0,499.0,259.0
1.183333333333334,1.8524411888767727,499.0,497.0,261.0
1.2000000000000006,1.848179137747807,495.0,493.0,265.0
1.2166666666666672,1.850650236020832,490.0,488.0,270.0
1.2333333333333338,1.8444629358569182,489.0,487.0,271.0
1.2500000000000004,1.8469996145387824,488.0,486.0,272.0
1.266666666666667,1.85222845794447,480.0,479.0,280.0
1.2833333333333337,1.8484198915675831,480.0,479.0,280.0
1.3000000000000003,1.848474264640365,476.0,475.0,284.0
1.3166666666666669,1.8418951598750253,474.0,473.0,286.0
1.3333333333333335,1.8433053344501142,470.0,468.0,291.0
1.35,1.8455018082559476,466.0,465.0,295.0
