massa,vel_x,vel_y
5.813457264e-26,-714.9111027148014,737.5459779165263
5.813457264e-26,535.9917679098303,356.85449021950194
5.813457264e-26,-189.93242936746225,740.3695029070368
5.813457264e-26,1201.5182107509227,73.26671109485169
5.813457264e-26,-377.597904255533,233.84959809399982
5.813457264e-26,1588.084663900855,281.355510969491
3.819884112e-26,0.0,0.0
5.813457264e-26,-623.2122445537403,317.2760809056185
3.819884112e-26,0.0,0.0
5.813457264e-26,-579.2301347665707,-369.81158204875015
5.813457264e-26,-1382.0955361305548,-161.207068845653
5.813457264e-26,326.70570197897933,-359.8693067531086
5.813457264e-26,-1444.9955159696456,-431.7998255164726
5.813457264e-26,375.38407801006804,800.1889064452571
5.813457264e-26,-76.9845478364332,290.30429672576116
5.813457264e-26,-250.85581957409295,532.475474018454
5.813457264e-26,-53.4273674036549,593.9297532040059
5.813457264e-26,28.585114140654134,-31.172271044879153
5.813457264e-26,-19.00358170548475,809.5768829322484
5.813457264e-26,491.1060832350695,539.9254702928486
5.813457264e-26,-416.6692547914903,-811.9272450473193
5.813457264e-26,475.75651930843605,-243.39388027062745
5.813457264e-26,1152.7284633726981,987.9542938816514
3.819884112e-26,0.0,0.0
5.813457264e-26,505.508640482691,361.9696112379205
5.813457264e-26,-98.27665703911208,-1066.1701013376744
5.813457264e-26,69.64448832148989,-615.6561233415972
9.633341376e-26,-1055.4244564110672,302.75384270578263
9.633341376e-26,-270.64257586400515,-246.04659719722872
9.633341376e-26,-104.82153542185742,305.4856113748715
9.633341376e-26,527.7433864995603,-473.8834401866204
9.633341376e-26,-449.88214454311566,252.98648218581616
9.633341376e-26,95.78453414351065,-135.23148616208482
9.633341376e-26,-209.6018886254805,68.11630585526859
9.633341376e-26,-601.450069765599,-448.79692931030075
9.633341376e-26,-497.369105015067,552.3406320117224
9.633341376e-26,-535.489521561071,-51.301764505691466
9.633341376e-26,53.88999024518847,-86.92782631888093
9.633341376e-26,-412.25855059121517,44.48600483769826
9.633341376e-26,-766.4240532620906,301.4127951759166
9.633341376e-26,24.98409865071926,-285.09133040253994
9.633341376e-26,-449.4990406574824,457.0792518625077
9.633341376e-26,-69.53315182609977,-153.50282391722047
9.633341376e-26,-522.9343749837246,206.95944963797876
9.633341376e-26,-559.812024863471,184.97439987574603
9.633341376e-26,474.0378302010273,-254.4588285905608
9.633341376e-26,410.50333393924615,-1055.184215709165
9.633341376e-26,-156.33720552188805,680.5324950772567
9.633341376e-26,877.0517471675314,1205.6246344452343
