Tempo [s],Temperatura [K],Na,Cl,NaCl
0.0,1.379896816232547,742.0,758.0,0.0
0.016666666666666666,1.379896816232547,742.0,758.0,0.0
0.03333333333333333,1.3714520783267248,742.0,758.0,0.0
0.05,1.364840561159043,742.0,758.0,0.0
0.06666666666666667,1.3588003210776713,742.0,758.0,0.0
0.08333333333333333,1.3537814006640105,741.0,757.0,1.0
0.09999999999999999,1.3469100367803752,740.0,756.0,2.0
0.11666666666666665,1.3402084492963333,740.0,756.0,2.0
0.13333333333333333,1.3372192106231258,737.0,753.0,5.0
0.15,1.3346522301093398,735.0,751.0,7.0
0.16666666666666666,1.3312023017889463,734.0,750.0,8.0
0.18333333333333332,1.322473756075029,733.0,749.0,9.0
0.19999999999999998,1.3186644498979636,729.0,745.0,13.0
0.21666666666666665,1.3142246527869283,726.0,742.0,16.0
0.2333333333333333,1.3123905808654435,723.0,739.0,19.0
0.24999999999999997,1.3074009898629213,719.0,735.0,23.0
0.26666666666666666,1.3008368801998258,717.0,733.0,25.0
0.2833333333333333,1.2971200487674006,713.0,729.0,29.0
0.3,1.291679125301117,712.0,728.0,30.0
0.31666666666666665,1.287018610321829,711.0,727.0,31.0
0.3333333333333333,1.282926150703231,709.0,725.0,33.0
0.35,1.277095385038938,708.0,724.0,34.0
0.36666666666666664,1.2744182574446044,706.0,722.0,36.0
0.3833333333333333,1.2694995172556207,705.0,721.0,37.0
0.39999999999999997,1.2640161078910948,704.0,720.0,38.0
0.41666666666666663,1.2595910375217094,702.0,718.0,40.0
0.4333333333333333,1.2632561876119817,697.0,713.0,45.0
0.44999999999999996,1.2586025743573865,694.0,710.0,48.0
0.4666666666666666,1.2552063955396684,692.0,708.0,50.0
0.4833333333333333,1.2498323557222302,691.0,707.0,51.0
0.49999999999999994,1.2460418622557656,689.0,705.0,53.0
0.5166666666666666,1.241249772820871,687.0,703.0,55.0
0.5333333333333333,1.239519496534153,686.0,702.0,56.0
0.55,1.239781625064289,683.0,699.0,59.0
0.5666666666666668,1.2361458714961082,679.0,695.0,63.0
0.5833333333333335,1.2318392339837034,678.0,694.0,64.0
0.6000000000000002,1.2319476685097832,676.0,692.0,66.0
0.6166666666666669,1.2257563762970913,675.0,691.0,67.0
0.6333333333333336,1.2263044084140642,673.0,689.0,69.0
0.6500000000000004,1.2220785880976162,672.0,688.0,70.0
0.6666666666666671,1.2178974277238528,670.0,686.0,72.0
0.6833333333333338,1.2144670986518225,668.0,684.0,74.0
0.7000000000000005,1.2124511984024198,664.0,680.0,78.0
0.7166666666666672,1.206438275178944,660.0,676.0,82.0
0.733333333333334,1.2068723030249469,656.0,672.0,86.0
0.7500000000000007,1.2054916468593009,654.0,670.0,88.0
0.7666666666666674,1.2080257163302426,649.0,667.0,93.0
0.7833333333333341,1.2101081849506243,646.0,664.0,96.0
0.8000000000000008,1.207650923004109,644.0,662.0,98.0
0.8166666666666675,1.206855303924513,641.0,659.0,101.0
0.8333333333333343,1.2045743178904893,639.0,657.0,103.0
0.850000000000001,1.2044209559248,634.0,652.0,108.0
0.8666666666666677,1.2038673672374747,632.0,650.0,110.0
0.8833333333333344,1.2026247599516728,630.0,648.0,112.0
0.9000000000000011,1.2028921879671273,626.0,645.0,116.0
0.9166666666666679,1.2009557875769066,625.0,644.0,117.0
0.9333333333333346,1.2005453143726987,622.0,641.0,120.0
0.9500000000000013,1.193729454319474,622.0,641.0,120.0
0.966666666666668,1.1931492731736146,619.0,638.0,123.0
0.9833333333333347,1.1951095410786832,615.0,634.0,127.0
1.0000000000000013,1.195388235461931,612.0,631.0,130.0
1.016666666666668,1.1963301666209587,611.0,630.0,131.0
1.0333333333333345,1.193481963788163,610.0,629.0,132.0
1.0500000000000012,1.1900389531306568,608.0,627.0,134.0
1.0666666666666678,1.1876824285149865,606.0,625.0,136.0
1.0833333333333344,1.1861576375444456,605.0,624.0,137.0
1.100000000000001,1.1847064786510622,603.0,622.0,139.0
1.1166666666666676,1.1821490513945985,602.0,621.0,140.0
1.1333333333333342,1.1823245840740877,601.0,620.0,141.0
1.1500000000000008,1.1774322508266084,601.0,620.0,141.0
1.1666666666666674,1.1761408592416422,597.0,616.0,145.0
1.183333333333334,1.1773751212486798,595.0,614.0,147.0
1.2000000000000006,1.1767511636305372,594.0,613.0,148.0
1.2166666666666672,1.1761841018036356,593.0,612.0,149.0
1.2333333333333338,1.1743573245706316,592.0,611.0,150.0
1.2500000000000004,1.1708255515557002,592.0,611.0,150.0
1.266666666666667,1.169295201039047,590.0,609.0,152.0
1.2833333333333337,1.1729635735041108,587.0,606.0,155.0
1.3000000000000003,1.174394983117281,586.0,605.0,156.0
1.3166666666666669,1.1750484434435893,580.0,599.0,162.0
1.3333333333333335,1.1756855510086086,577.0,596.0,165.0
1.35,1.175265539149081,577.0,596.0,165.0
1.3666666666666667,1.174665396108465,575.0,594.0,167.0
1.3833333333333333,1.17296186028759,575.0,594.0,167.0
1.4,1.171637447764832,574.0,593.0,168.0
1.4166666666666665,1.171068507173603,570.0,589.0,172.0
1.4333333333333331,1.1670821879304356,570.0,589.0,172.0
1.4499999999999997,1.1661396007800562,568.0,587.0,174.0
1.4666666666666663,1.166238117949481,566.0,585.0,176.0
1.483333333333333,1.166599106219248,565.0,584.0,177.0
1.4999999999999996,1.1659037680172728,563.0,582.0,179.0
1.5166666666666662,1.166867503064497,559.0,578.0,183.0
1.5333333333333328,1.163592309615126,558.0,577.0,184.0
1.5499999999999994,1.1609316730771875,556.0,575.0,186.0
1.566666666666666,1.1565223945099123,555.0,574.0,187.0
