Tempo [s],Temperatura [K],Cl,Na,NaCl
0.0,0.520475380869433,774.0,726.0,0.0
0.016666666666666666,0.520475380869433,774.0,726.0,0.0
0.03333333333333333,0.5198024710073744,774.0,726.0,0.0
0.05,0.5190153340060683,774.0,726.0,0.0
0.06666666666666667,0.5173365388287987,773.0,725.0,1.0
0.08333333333333333,0.5164273988495559,773.0,725.0,1.0
0.09999999999999999,0.5150794109742153,772.0,724.0,2.0
0.11666666666666665,0.514195503702095,772.0,724.0,2.0
0.13333333333333333,0.5128515169710431,772.0,724.0,2.0
0.15,0.5106113178677565,772.0,724.0,2.0
0.16666666666666666,0.5092319227316718,772.0,724.0,2.0
0.18333333333333332,0.5083451164538204,772.0,724.0,2.0
0.19999999999999998,0.5065935495282704,772.0,724.0,2.0
0.21666666666666665,0.5036034932424143,772.0,724.0,2.0
0.2333333333333333,0.503024932791108,772.0,724.0,2.0
0.24999999999999997,0.5024122028234776,772.0,724.0,2.0
0.26666666666666666,0.5019483965367364,772.0,724.0,2.0
0.2833333333333333,0.5003524146616302,772.0,724.0,2.0
0.3,0.49949806863146995,772.0,724.0,2.0
0.31666666666666665,0.49822708522500253,772.0,724.0,2.0
0.3333333333333333,0.4969404025956656,772.0,724.0,2.0
0.35,0.49668317984553845,772.0,724.0,2.0
0.36666666666666664,0.4962544949888704,771.0,723.0,3.0
0.3833333333333333,0.4950762517957889,769.0,721.0,5.0
0.39999999999999997,0.49301756672881825,768.0,720.0,6.0
0.41666666666666663,0.4927912447120521,767.0,719.0,7.0
0.4333333333333333,0.49209697586347095,767.0,719.0,7.0
0.44999999999999996,0.4910873279758172,766.0,718.0,8.0
0.4666666666666666,0.4903778753913873,766.0,718.0,8.0
0.4833333333333333,0.49011093790536087,765.0,717.0,9.0
0.49999999999999994,0.4897055648174701,763.0,715.0,11.0
0.5166666666666666,0.48942639459980164,761.0,713.0,13.0
0.5333333333333333,0.4880795993337726,760.0,712.0,14.0
0.55,0.48759759801383307,758.0,710.0,16.0
0.5666666666666668,0.4866047686434941,758.0,710.0,16.0
0.5833333333333335,0.4860441047171676,757.0,709.0,17.0
0.6000000000000002,0.4848081915984862,757.0,709.0,17.0
0.6166666666666669,0.4846719065576965,755.0,707.0,19.0
0.6333333333333336,0.4836569740075446,755.0,707.0,19.0
0.6500000000000004,0.4838156751125542,754.0,706.0,20.0
0.6666666666666671,0.4838501827021531,753.0,705.0,21.0
0.6833333333333338,0.4827899077676981,753.0,705.0,21.0
0.7000000000000005,0.48355995778289784,752.0,704.0,22.0
0.7166666666666672,0.4815264303688659,752.0,704.0,22.0
0.733333333333334,0.4806226056844929,752.0,704.0,22.0
0.7500000000000007,0.4789314922897726,752.0,704.0,22.0
0.7666666666666674,0.47830141425421685,751.0,703.0,23.0
0.7833333333333341,0.4773510094421672,751.0,703.0,23.0
0.8000000000000008,0.47702023114050096,751.0,703.0,23.0
0.8166666666666675,0.4765754420527284,750.0,702.0,24.0
0.8333333333333343,0.47670941956302704,749.0,701.0,25.0
0.850000000000001,0.47598171281385754,749.0,701.0,25.0
0.8666666666666677,0.4756535124366949,749.0,701.0,25.0
0.8833333333333344,0.47556127151037614,748.0,700.0,26.0
0.9000000000000011,0.4752768683720124,745.0,697.0,29.0
0.9166666666666679,0.474851278115277,745.0,697.0,29.0
0.9333333333333346,0.47494919333973434,745.0,697.0,29.0
0.9500000000000013,0.4736532125132828,745.0,697.0,29.0
0.966666666666668,0.47327093625720823,744.0,696.0,30.0
0.9833333333333347,0.4726489991971146,744.0,696.0,30.0
1.0000000000000013,0.4726225722263208,742.0,694.0,32.0
1.016666666666668,0.47227342157596836,740.0,692.0,34.0
1.0333333333333345,0.47144270733035243,739.0,691.0,35.0
1.0500000000000012,0.47156773443251043,739.0,691.0,35.0
1.0666666666666678,0.4715930568233994,737.0,689.0,37.0
1.0833333333333344,0.47123871730166284,736.0,688.0,38.0
1.100000000000001,0.47125184193880504,734.0,686.0,40.0
1.1166666666666676,0.47166841346800664,733.0,685.0,41.0
1.1333333333333342,0.47080880786898577,733.0,685.0,41.0
1.1500000000000008,0.4684283547687037,733.0,685.0,41.0
1.1666666666666674,0.4680084208645029,732.0,684.0,42.0
1.183333333333334,0.4682757033607181,732.0,684.0,42.0
1.2000000000000006,0.46799353716182124,732.0,684.0,42.0
1.2166666666666672,0.4682829743795667,730.0,682.0,44.0
1.2333333333333338,0.4677545607299042,730.0,682.0,44.0
1.2500000000000004,0.46662497101128697,730.0,682.0,44.0
1.266666666666667,0.46616573766284003,728.0,680.0,46.0
1.2833333333333337,0.465998975375507,728.0,680.0,46.0
1.3000000000000003,0.4645764721230358,728.0,680.0,46.0
1.3166666666666669,0.46499137565549264,726.0,678.0,48.0
1.3333333333333335,0.4651133240485064,726.0,678.0,48.0
1.35,0.46489431863298986,725.0,677.0,49.0
1.3666666666666667,0.4653048796476562,725.0,677.0,49.0
1.3833333333333333,0.46495764788920313,725.0,677.0,49.0
1.4,0.4652606277815176,724.0,676.0,50.0
1.4166666666666665,0.4642595387931399,724.0,676.0,50.0
1.4333333333333331,0.4648507664111389,723.0,675.0,51.0
1.4499999999999997,0.46516811293722254,722.0,674.0,52.0
1.4666666666666663,0.4649484537913662,720.0,672.0,54.0
1.483333333333333,0.4641414922162309,720.0,672.0,54.0
1.4999999999999996,0.46297539574408975,720.0,672.0,54.0
1.5166666666666662,0.4631700089478991,719.0,671.0,55.0
1.5333333333333328,0.4633196880408115,717.0,669.0,57.0
1.5499999999999994,0.4628085239506483,717.0,669.0,57.0
1.566666666666666,0.4622633206551583,716.0,668.0,58.0
1.5833333333333326,0.46156862573417384,715.0,667.0,59.0
1.5999999999999992,0.4617985584414608,715.0,667.0,59.0
1.6166666666666658,0.46162552402170964,714.0,666.0,60.0
1.6333333333333324,0.4608896924887951,714.0,666.0,60.0
1.649999999999999,0.4608874482740635,713.0,665.0,61.0
1.6666666666666656,0.45999095457663425,713.0,665.0,61.0
1.6833333333333322,0.4596836754342457,713.0,665.0,61.0
1.6999999999999988,0.45946849439493687,711.0,663.0,63.0
1.7166666666666655,0.4593235354307277,710.0,662.0,64.0
1.733333333333332,0.4584283428888584,709.0,661.0,65.0
1.7499999999999987,0.45857756875515726,708.0,660.0,66.0
1.7666666666666653,0.4582080032631192,708.0,660.0,66.0
1.7833333333333319,0.4586014094707022,707.0,659.0,67.0
1.7999999999999985,0.45868067718721783,707.0,659.0,67.0
1.816666666666665,0.45950426267761746,706.0,658.0,68.0
1.8333333333333317,0.4589941958745459,706.0,658.0,68.0
1.8499999999999983,0.45953362778992485,706.0,658.0,68.0
1.866666666666665,0.4590580811147354,706.0,658.0,68.0
1.8833333333333315,0.45836202559316735,706.0,658.0,68.0
1.8999999999999981,0.45783759993095746,705.0,657.0,69.0
1.9166666666666647,0.45617957262516573,705.0,657.0,69.0
1.9333333333333313,0.4548714893328741,704.0,656.0,70.0
1.949999999999998,0.4544738271113105,703.0,655.0,71.0
1.9666666666666646,0.4537894446331444,702.0,654.0,72.0
1.9833333333333312,0.45422066912277886,701.0,653.0,73.0
1.9999999999999978,0.45445278461805894,701.0,653.0,73.0
2.0166666666666644,0.453824798316749,699.0,651.0,75.0
2.033333333333331,0.4532734052253014,697.0,649.0,77.0
2.0499999999999976,0.4531687589456126,695.0,647.0,79.0
2.066666666666664,0.4525459277333477,694.0,646.0,80.0
2.083333333333331,0.4525651839400015,693.0,645.0,81.0
2.0999999999999974,0.45205359206470885,693.0,645.0,81.0
2.116666666666664,0.4525540817462697,691.0,643.0,83.0
2.1333333333333306,0.4525573010579715,690.0,642.0,84.0
2.1499999999999972,0.4529925641564854,690.0,642.0,84.0
2.166666666666664,0.4522310316386909,689.0,641.0,85.0
2.1833333333333305,0.4525971159790496,686.0,638.0,88.0
2.199999999999997,0.4513505454525128,686.0,638.0,88.0
2.2166666666666637,0.45098505770386804,684.0,636.0,90.0
2.2333333333333303,0.45181884857604077,683.0,635.0,91.0
2.249999999999997,0.45152177067995136,682.0,634.0,92.0
